Year Placed,Total Graduating students,Students placed,Median salary per annum(Rs.),Higher Studies Student,College,CollegeID,Program,Duration(Years)
2023,135,93,1500000,30,Netaji Subhas University of Technology NSUT ,IR-E-C-6379,PG,2
2021,1730,1504,600000,142,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2022,1751,1548,750000,102,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2023,1806,1617,760000,115,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,UG,4
2021,94,50,400000,27,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG,2
2022,84,50,550000,7,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG,2
2021,80,65,400000,9,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2022,62,50,550000,2,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2023,45,33,550000,12,Shanmugha Arts Science Technology and Research Academy,IR-E-U-0476,PG-Integrated,5
2021,1121,877,550000,233,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2022,1124,897,615000,140,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2023,1121,841,800000,167,M S Ramaiah Institute of Technology,IR-E-C-1331,UG,4
2021,177,136,550000,8,M S Ramaiah Institute of Technology,IR-E-C-1331,PG,2
2022,181,142,600000,5,M S Ramaiah Institute of Technology,IR-E-C-1331,PG,2
2021,158,114,900000,25,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2022,173,100,1417000,40,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2023,188,123,1600000,26,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,4
2021,0,0,0,0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,5
2022,0,0,0,0,Indian Institute of Technology Gandhinagar,IR-E-U-0139,UG,5
2021,130,79,850000,38,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2022,35,20,1101000,12,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2023,35,20,1375000,8,Indian Institute of Technology Gandhinagar,IR-E-U-0139,PG,2
2021,615,428,360000,83,SR University,IR-E-C-19754,UG,4
2022,616,472,400000,65,SR University,IR-E-C-19754,UG,4
2023,622,414,401988,108,SR University,IR-E-C-19754,UG,4
2021,82,48,450000,14,SR University,IR-E-C-19754,PG,2
2022,108,72,450000,11,SR University,IR-E-C-19754,PG,2
2021,200,190,1700000,10,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2022,215,208,1950000,7,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2023,295,265,2000000,15,Defence Institute of Advanced Technology,IR-E-U-0297,PG,2
2021,645,525,600000,82,National Institute of Technology Agartala,IR-E-U-0493,UG,4
2022,681,619,700000,58,National Institute of Technology Agartala,IR-E-U-0493,UG,4
2023,761,723,850000,26,National Institute of Technology Agartala,IR-E-U-0493,UG,4
2021,148,80,600000,32,National Institute of Technology Agartala,IR-E-U-0493,PG,2
2022,161,106,650000,22,National Institute of Technology Agartala,IR-E-U-0493,PG,2
2021,1018,844,550000,77,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG,4
2022,1083,905,760000,98,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG,4
2023,845,677,800000,115,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,UG,4
2021,44,30,460000,11,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG,2
2022,44,36,600000,7,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG,2
2023,44,40,600000,3,Sri Sivasubramaniya Nadar College of Engineering,IR-E-C-16604,PG,2
2021,2644,1717,500000,379,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG,4
2022,2648,1752,660000,405,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG,4
2023,2891,1991,805500,798,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,UG,4
2021,392,153,450000,63,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG,2
2022,241,88,476000,96,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG,2
2023,208,72,820000,90,Koneru Lakshmaiah Education Foundation University K L College of Engineering ,IR-E-U-0020,PG,2
2021,1240,771,500000,142,PSG College of Technology,IR-E-C-37013,UG,4
2022,1244,926,650008,114,PSG College of Technology,IR-E-C-37013,UG,4
2023,1217,902,700000,82,PSG College of Technology,IR-E-C-37013,UG,4
2021,188,94,460000,11,PSG College of Technology,IR-E-C-37013,UG,5
2022,191,139,500000,15,PSG College of Technology,IR-E-C-37013,UG,5
2023,174,123,600000,0,PSG College of Technology,IR-E-C-37013,UG,5
2021,293,128,500000,4,PSG College of Technology,IR-E-C-37013,PG,2
2022,175,99,630000,0,PSG College of Technology,IR-E-C-37013,PG,2
2023,120,57,700000,0,PSG College of Technology,IR-E-C-37013,PG,2
2021,221,190,2000000,2,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG,4
2022,275,261,2800000,14,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG,4
2023,384,372,3000000,9,Indian Institute of Information Technology Allahabad,IR-E-U-0516,UG,4
2021,125,93,1150000,13,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG,2
2022,141,137,1675000,4,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG,2
2023,176,133,1500000,6,Indian Institute of Information Technology Allahabad,IR-E-U-0516,PG,2
2021,445,359,680000,74,National Institute of Technology Patna,IR-E-U-0072,UG,4
2022,550,512,1000000,32,National Institute of Technology Patna,IR-E-U-0072,UG,4
2023,626,601,988000,17,National Institute of Technology Patna,IR-E-U-0072,UG,4
2021,200,14,675000,67,National Institute of Technology Patna,IR-E-U-0072,PG,2
2022,256,125,600000,79,National Institute of Technology Patna,IR-E-U-0072,PG,2
2023,199,87,780000,83,National Institute of Technology Patna,IR-E-U-0072,PG,2
2021,273,185,1625000,12,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG,4
2022,268,237,2000000,21,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG,4
2023,293,269,2100000,17,Indian Institute of Technology Hyderabad,IR-E-U-0013,UG,4
2021,151,74,1945000,7,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,2
2022,244,199,1650000,19,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,2
2023,335,297,1500000,29,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,2
2021,31,26,2526000,0,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,3
2022,44,40,2100000,4,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,3
2023,32,26,2180000,2,Indian Institute of Technology Hyderabad,IR-E-U-0013,PG,3
2021,242,198,1350000,17,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG,4
2022,254,236,1500000,15,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG,4
2023,299,247,1598000,10,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,UG,4
2021,152,74,882000,20,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG,2
2022,168,142,1250000,7,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG,2
2023,122,106,1200000,8,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,PG,2
2021,2554,2250,1300000,118,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG,4
2022,2762,2470,1820000,89,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG,4
2023,2804,2443,1900000,303,Birla Institute of Technology and Science Pilani,IR-E-U-0391,UG,4
2021,659,564,1200000,22,Birla Institute of Technology and Science Pilani,IR-E-U-0391,PG,2
2022,699,613,1480000,4,Birla Institute of Technology and Science Pilani,IR-E-U-0391,PG,2
2021,631,393,810000,15,Birla Institute of Technology,IR-E-U-0202,UG,4
2022,669,597,990000,44,Birla Institute of Technology,IR-E-U-0202,UG,4
2023,720,519,1057982,39,Birla Institute of Technology,IR-E-U-0202,UG,4
2021,114,14,401986,5,Birla Institute of Technology,IR-E-U-0202,PG,2
2022,217,86,590000,17,Birla Institute of Technology,IR-E-U-0202,PG,2
2021,663,500,1392000,163,Indian Institute of Technology Bombay,IR-E-U-0306,UG,4
2022,674,591,1880000,83,Indian Institute of Technology Bombay,IR-E-U-0306,UG,4
2023,798,644,1963000,154,Indian Institute of Technology Bombay,IR-E-U-0306,UG,4
2021,853,407,1300000,446,Indian Institute of Technology Bombay,IR-E-U-0306,PG,2
2022,853,623,1476188,230,Indian Institute of Technology Bombay,IR-E-U-0306,PG,2
