Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2022-23,929,857,"520000(Five lakh
Twenty Thousand)",72,C V Raman Global University Odisha,IR-E-C-30045,UG [4 Years Program(s)]
2020-21,193,169,"345000(Three Lakh
Forty Five Thousand
Only)",17,C V Raman Global University Odisha,IR-E-C-30045,PG [2 Years Program(s)]
2021-22,113,102,"360000(Three Lakh
Sixty Thousand Only)",11,C V Raman Global University Odisha,IR-E-C-30045,PG [2 Years Program(s)]
2020-21,105,65,"900000(Nine Lakhs
Rupees only)",18,Indian Institute of Technology Tirupati,IR-E-U-0844,UG [4 Years Program(s)]
2021-22,167,142,"1210000(twelve lakhs
and ten thousand
rupees only)",16,Indian Institute of Technology Tirupati,IR-E-U-0844,UG [4 Years Program(s)]
2022-23,189,120,"1600000(SIXTEEN
LAKHS RUPEES)",51,Indian Institute of Technology Tirupati,IR-E-U-0844,UG [4 Years Program(s)]
2020-21,51,31,"875000(Eight Lakhs
Seventy five thousand
rupees)",6,Indian Institute of Technology Tirupati,IR-E-U-0844,PG [2 Years Program(s)]
2021-22,43,38,"805000(Eight Lakhs
Five thousand rupees)",5,Indian Institute of Technology Tirupati,IR-E-U-0844,PG [2 Years Program(s)]
2022-23,61,41,"1450000(FOURTEEN
LAKHS FIFTY
THOUSAND RUPPES)",11,Indian Institute of Technology Tirupati,IR-E-U-0844,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated [5 Years Program(s)]
2022-23,0,0,0(Zero),0,Indian Institute of Technology Tirupati,IR-E-U-0844,PG-Integrated [5 Years Program(s)]
2020-21,2041,1807,"1100000(Eleven
Lakhs)",234,Delhi Technological University,IR-E-U-0098,UG [4 Years Program(s)]
2021-22,2131,1880,"1300000(Thirteen
Lakhs)",251,Delhi Technological University,IR-E-U-0098,UG [4 Years Program(s)]
2022-23,2220,1965,"1410000(Fourteen
lakhs ten thousand)",255,Delhi Technological University,IR-E-U-0098,UG [4 Years Program(s)]
2020-21,274,209,1000000(Ten Lakhs),65,Delhi Technological University,IR-E-U-0098,PG [2 Years Program(s)]
2021-22,305,257,"1025500(Ten Lakhs
twenty five thousand
and fifty )",48,Delhi Technological University,IR-E-U-0098,PG [2 Years Program(s)]
2022-23,300,246,"1300000(Thirteen
lakhs )",54,Delhi Technological University,IR-E-U-0098,PG [2 Years Program(s)]
2020-21,768,422,900000(Nine lakh only),80,National Institute of Technology Kurukshetra,IR-E-U-0172,UG [4 Years Program(s)]
2021-22,789,632,"1100000(Eleven lakh
only)",102,National Institute of Technology Kurukshetra,IR-E-U-0172,UG [4 Years Program(s)]
2022-23,959,662,"1107000(Eleven lakh
seven thousand only)",125,National Institute of Technology Kurukshetra,IR-E-U-0172,UG [4 Years Program(s)]
2020-21,330,34,"750000(Seven lakh
fifty thousand only)",120,National Institute of Technology Kurukshetra,IR-E-U-0172,PG [2 Years Program(s)]
2021-22,358,165,900000(Nine lakh only),115,National Institute of Technology Kurukshetra,IR-E-U-0172,PG [2 Years Program(s)]
2022-23,388,197,900000(Nine lakh only),103,National Institute of Technology Kurukshetra,IR-E-U-0172,PG [2 Years Program(s)]
2020-21,1626,1174,800000(Eight Lakh),190,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG [4 Years Program(s)]
2021-22,1692,1422,1000000(Ten Lakh),177,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG [4 Years Program(s)]
2022-23,2259,1962,"1189000(Eleven Lakh
Eighty Nine Thousand)",193,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,UG [4 Years Program(s)]
2020-21,176,48,"740000(Seven Lakh
Forty Thousand)",76,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG [2 Years Program(s)]
2021-22,272,161,"810000(Eight Lakh
Ten Thousand)",82,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG [2 Years Program(s)]
2022-23,202,136,1000000( Ten Lakh),46,Thapar Institute of Engineering and Technology Deemed to be university ,IR-E-I-1480,PG [2 Years Program(s)]
2020-21,111,54,800000(Eight Lakhs),57,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG [4 Years Program(s)]
2021-22,108,79,700000(Seven Lakhs),29,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG [4 Years Program(s)]
2022-23,121,83,"950000(Nine Lakhs
Fifty Thousand only)",38,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,UG [4 Years Program(s)]
2020-21,8,1,500000(Five Lakhs),7,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG [2 Years Program(s)]
2021-22,55,30,"510000(Five Lakhs
Ten Thousand)",25,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG [2 Years Program(s)]
2022-23,44,27,"550000(Five Lakh Fifty
Thousand Only)",17,Rajiv Gandhi Institute of Petroleum Technology,IR-E-U-0535,PG [2 Years Program(s)]
2020-21,115,75,900000(Nine Lakh),14,Indian Institute of Technology Palakkad,IR-E-U-0878,UG [4 Years Program(s)]
2021-22,142,107,1200000(Twelve Lakh),12,Indian Institute of Technology Palakkad,IR-E-U-0878,UG [4 Years Program(s)]
2022-23,154,130,"1410000(Fourteen lakh
ten thousand)",13,Indian Institute of Technology Palakkad,IR-E-U-0878,UG [4 Years Program(s)]
2020-21,32,15,"650000(Six lakh fifty
thousand)",7,Indian Institute of Technology Palakkad,IR-E-U-0878,PG [2 Years Program(s)]
2021-22,71,52,"950000(Nine lakh fifty
thousand)",2,Indian Institute of Technology Palakkad,IR-E-U-0878,PG [2 Years Program(s)]
2022-23,70,51,"950000(Nine lakh fifty
thousand)",7,Indian Institute of Technology Palakkad,IR-E-U-0878,PG [2 Years Program(s)]
2020-21,1184,981,"975000(Rupees Nine
Lakh Seventy Five
Thousand only)",203,Jadavpur University,IR-E-U-0575,UG [4 Years Program(s)]
2021-22,992,843,"1000000(Rupees Ten
Lakh Only)",149,Jadavpur University,IR-E-U-0575,UG [4 Years Program(s)]
2022-23,1078,948,"1000000(Rupees Ten
Lakh Only)",130,Jadavpur University,IR-E-U-0575,UG [4 Years Program(s)]
2020-21,459,362,"902000(Rupees Nine
Lakhs Two Thousand
only)",97,Jadavpur University,IR-E-U-0575,PG [2 Years Program(s)]
2021-22,365,258,"910000(Rupees Nine
Lakhs Ten Thousand
only)",107,Jadavpur University,IR-E-U-0575,PG [2 Years Program(s)]
2020-21,524,376,"545000(five lakhs
fourty five thousand )",47,Graphic Era University,IR-E-U-0555,UG [4 Years Program(s)]
2021-22,778,480,"630000(Six Lakh Thirty
Thousand)",30,Graphic Era University,IR-E-U-0555,UG [4 Years Program(s)]
2022-23,895,571,"592822(Five Lakh
Ninety Two Thousand
Eight Hundred And
Twenty Two)",65,Graphic Era University,IR-E-U-0555,UG [4 Years Program(s)]
2020-21,44,26,"550000(five lakhs fifty
thousand only)",8,Graphic Era University,IR-E-U-0555,PG [2 Years Program(s)]
2021-22,52,36,"635000(six lakhs thirty
five thousand only)",10,Graphic Era University,IR-E-U-0555,PG [2 Years Program(s)]
2020-21,1172,985,500000(Five Lakh),187,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG [4 Years Program(s)]
2021-22,1101,993,"550000(Five Lakh Fifty
Thousand )",108,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG [4 Years Program(s)]
2022-23,1115,998,600000(Six Lakh),110,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG [4 Years Program(s)]
2020-21,0,0,0(Zero),0,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Sri Krishna College of Engineering and Technology,IR-E-C-36995,UG [5 Years Program(s)]
2020-21,69,64,500000(Five Lakh),5,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG [2 Years Program(s)]
2021-22,55,50,"550000(Five Lakh Fifty
Thousand )",5,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG [2 Years Program(s)]
2022-23,70,65,600000(Six Lakh),4,Sri Krishna College of Engineering and Technology,IR-E-C-36995,PG [2 Years Program(s)]
2020-21,106,79,"1063656(Ten Lakh
Sixty Three Thousand
Six Hundred Fifty Six
Only)",8,Indian Institute of Space Science and Technology,IR-E-U-0255,UG [4 Years Program(s)]
2021-22,107,86,"1063656(Ten Lakh
Sixty Three Thousand
Six Hundred Fifty Six
Only)",11,Indian Institute of Space Science and Technology,IR-E-U-0255,UG [4 Years Program(s)]
2022-23,125,101,"1104048(Eleven Lakh
Four Thousand Forty
Eight Only)",24,Indian Institute of Space Science and Technology,IR-E-U-0255,UG [4 Years Program(s)]
2020-21,89,21,"890000(Eight Lakh
Ninety Thousand Only)",21,Indian Institute of Space Science and Technology,IR-E-U-0255,PG [2 Years Program(s)]
2021-22,103,59,"1000000(Ten Lakh
Only)",18,Indian Institute of Space Science and Technology,IR-E-U-0255,PG [2 Years Program(s)]
2022-23,89,79,"1000000(Ten Lakh
only)",10,Indian Institute of Space Science and Technology,IR-E-U-0255,PG [2 Years Program(s)]
2020-21,162,162,"1925000(Nineteen
Lakhs Twenty Five
Thousand)",0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG [2 Years Program(s)]
2021-22,177,177,"2494000(Twenty Four
Lakhs Ninety Four
Thousand)",0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG [2 Years Program(s)]
2022-23,173,170,"2100000(Twenty One
Lakhs)",0,International Institute of Information Technology Bangalore,IR-E-U-0221,PG [2 Years Program(s)]
2020-21,97,91,"2010000(Twenty Lakh
Ten Thousand)",6,International Institute of Information Technology Bangalore,IR-E-U-0221,PG-Integrated [5 Years Program(s)]
2021-22,61,55,"2300000(Twenty Three
Lakhs)",4,International Institute of Information Technology Bangalore,IR-E-U-0221,PG-Integrated [5 Years Program(s)]
2020-21,773,437,"1915000(Nineteen
Lakh Fifteen
Thousand)",299,Indian Institute of Technology Kanpur,IR-E-I-1075,UG [4 Years Program(s)]
2021-22,790,621,"2207000(Twenty Two
Lakh Seven Thousand)",165,Indian Institute of Technology Kanpur,IR-E-I-1075,UG [4 Years Program(s)]
2022-23,985,688,"2300000(Twenty Three
Lakh)",239,Indian Institute of Technology Kanpur,IR-E-I-1075,UG [4 Years Program(s)]
2020-21,736,356,"1769000(Seventeen
Lakh Sixty Nine
Thousand)",294,Indian Institute of Technology Kanpur,IR-E-I-1075,PG [2 Years Program(s)]
2021-22,772,583,"1529000(Fifteen Lakh
Twenty Nine
Thousand)",158,Indian Institute of Technology Kanpur,IR-E-I-1075,PG [2 Years Program(s)]
2020-21,338,292,"1500000(Fifteen
Lakhs)",17,Indian Institute of Technology Madras,IR-E-U-0456,UG [4 Years Program(s)]
2021-22,388,297,"1700000(Seventeen
Laksh)",78,Indian Institute of Technology Madras,IR-E-U-0456,UG [4 Years Program(s)]
2022-23,639,496,"1663440(Sixteen Lakh
Sixty three Thousand
Four Hundred And
Forty)",96,Indian Institute of Technology Madras,IR-E-U-0456,UG [4 Years Program(s)]
Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed graduates per
annum(Amount in
Rs.)","No. of students
selected for Higher
Studies",Indian Institute of Technology Madras,IR-E-U-0456,UG [4 Years Program(s)]
2020-21,355,305,"1300000(Thirteen
Lakhs)",17,Indian Institute of Technology Madras,IR-E-U-0456,PG [2 Years Program(s)]
2021-22,313,285,"1300000(Thirteen
Lakhs)",21,Indian Institute of Technology Madras,IR-E-U-0456,PG [2 Years Program(s)]
2022-23,429,390,"1500000(Fifteem lakhs
)",12,Indian Institute of Technology Madras,IR-E-U-0456,PG [2 Years Program(s)]
2020-21,142,101,"1194000(Eleven Lakhs
Ninety Four Thousand)",32,Indian Institute of Technology Madras,IR-E-U-0456,PG [3 Years Program(s)]
2021-22,136,112,"1500000(Fifteen
Lakhs)",24,Indian Institute of Technology Madras,IR-E-U-0456,PG [3 Years Program(s)]
2022-23,191,147,"1500000(Fifteen
Lakhs)",37,Indian Institute of Technology Madras,IR-E-U-0456,PG [3 Years Program(s)]
2020-21,744,723,600000(Six lakhs),19,Siddaganga Institute of Technology,IR-E-C-1297,UG [4 Years Program(s)]
2021-22,855,831,"650000(Six lakhs fifty
thousand )",22,Siddaganga Institute of Technology,IR-E-C-1297,UG [4 Years Program(s)]
2022-23,858,836,"800000(Eight lakh
only)",20,Siddaganga Institute of Technology,IR-E-C-1297,UG [4 Years Program(s)]
2020-21,81,69,600000(Six lakhs),2,Siddaganga Institute of Technology,IR-E-C-1297,PG [2 Years Program(s)]
2021-22,145,143,"630000(Six lakhs thirty
thousand)",2,Siddaganga Institute of Technology,IR-E-C-1297,PG [2 Years Program(s)]
2022-23,148,145,"700000(Seven lakh
only)",2,Siddaganga Institute of Technology,IR-E-C-1297,PG [2 Years Program(s)]
2020-21,360,330,"550000(five lakh fifty
thousand)",30,AU College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2021-22,372,315,"650000(six lakhs fifty
thousand only)",57,AU College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2022-23,423,397,"588000(Five lakh
eighty eight thousand)",24,AU College of Engineering A ,IR-E-C-24004,UG [4 Years Program(s)]
2020-21,510,93,"650000(six lakh fifty
thousand only)",67,AU College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2021-22,510,315,"660000(six lakhs sixty
thousand only)",78,AU College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2022-23,510,430,"680000(six lakhs eight
thousand)",78,AU College of Engineering A ,IR-E-C-24004,PG [2 Years Program(s)]
2020-21,734,527,"812000(Eight Lakhs
Twelve Thousand)",145,COEP Technological University,IR-E-C-41593,UG [4 Years Program(s)]
2021-22,714,577,"970000(Nine Lakh
Seventy Thousand)",135,COEP Technological University,IR-E-C-41593,UG [4 Years Program(s)]
2022-23,756,602,"975000(Nine Lakhs
Seventy Five
Thousand)",104,COEP Technological University,IR-E-C-41593,UG [4 Years Program(s)]
2020-21,371,220,600000(Six Lakhs),19,COEP Technological University,IR-E-C-41593,PG [2 Years Program(s)]
2021-22,375,329,"696000(Six Lakhs
Ninety Six Thousand)",35,COEP Technological University,IR-E-C-41593,PG [2 Years Program(s)]
2022-23,275,180,"650000(Six Lakhs Fifty
Thousand)",38,COEP Technological University,IR-E-C-41593,PG [2 Years Program(s)]
2020-21,498,241,"350000(Three lakhs
fifty thousand)",41,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG [4 Years Program(s)]
2021-22,551,378,400000(Four lakhs),27,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG [4 Years Program(s)]
2022-23,606,400,400000(Four Lakhs),38,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,UG [4 Years Program(s)]
2020-21,39,12,"350000(Three lakhs
fifty thousand)",7,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG [2 Years Program(s)]
2021-22,39,8,"415000(Four lakhs
fifteen thousand)",5,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG [2 Years Program(s)]
2022-23,47,21,"420000(Four lakhs
twenty thousand only)",12,Sant Longowal Institute of Engineering and Technology,IR-E-U-0384,PG [2 Years Program(s)]
2020-21,237,189,"1240000(Twelve Lakh
Twenty Four Thousand
Rupees)",18,Indian Institute of Technology Ropar,IR-E-U-0378,UG [4 Years Program(s)]
2021-22,271,229,"1714000(Seventeen
Lakh Fourteen
Thousand Rupees)",7,Indian Institute of Technology Ropar,IR-E-U-0378,UG [4 Years Program(s)]
2022-23,293,247,"2000000(Twenty Lakh
Rupees )",25,Indian Institute of Technology Ropar,IR-E-U-0378,UG [4 Years Program(s)]
2020-21,197,120,"700000(Seven Lakh
Rupees)",72,Indian Institute of Technology Ropar,IR-E-U-0378,PG [2 Years Program(s)]
2021-22,198,108,1000000(Ten Lakh),22,Indian Institute of Technology Ropar,IR-E-U-0378,PG [2 Years Program(s)]
2022-23,172,115,"1200000(Twelve Lakh
Rupees)",34,Indian Institute of Technology Ropar,IR-E-U-0378,PG [2 Years Program(s)]
2020-21,8,5,"689000(Six Lakh
Eighty Nine Thousand
Rupees)",3,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated [5 Years Program(s)]
2021-22,9,7,"3725000(Thirty Seven
Lakh Twenty Five
Thousand Rupees)",0,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated [5 Years Program(s)]
2022-23,11,10,"1800000(Eighteen
Lakh Rupees)",1,Indian Institute of Technology Ropar,IR-E-U-0378,PG-Integrated [5 Years Program(s)]
2020-21,218,103,"655000(six lakhs fifty
thousand)",78,Institute of Chemical Technology,IR-E-U-0308,UG [4 Years Program(s)]
2021-22,209,107,800000(eight lakhs),70,Institute of Chemical Technology,IR-E-U-0308,UG [4 Years Program(s)]
2022-23,240,114,"800000(eight lakhs
only)",43,Institute of Chemical Technology,IR-E-U-0308,UG [4 Years Program(s)]
2020-21,254,160,"525000(five lakh fifty
thousand)",24,Institute of Chemical Technology,IR-E-U-0308,PG [2 Years Program(s)]
2021-22,309,263,"521000(five lakh
twenty one thousand)",6,Institute of Chemical Technology,IR-E-U-0308,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated [5 Years Program(s)]
2022-23,98,71,"620000(six lakhs
twenty thousand)",3,Institute of Chemical Technology,IR-E-U-0308,PG-Integrated [5 Years Program(s)]
2020-21,803,293,"445000(Four Lakhs
forty five thousand
only)",176,Jain University Bangalore,IR-E-U-0223,UG [4 Years Program(s)]
2021-22,912,389,"633000(Six Lakh Thirty
Three Thousand)",192,Jain University Bangalore,IR-E-U-0223,UG [4 Years Program(s)]
2022-23,978,421,600000(Six Lakh),194,Jain University Bangalore,IR-E-U-0223,UG [4 Years Program(s)]
2020-21,100,64,"668000(Six lakhs sixty
eight thousand only)",19,Jain University Bangalore,IR-E-U-0223,PG [2 Years Program(s)]
2021-22,83,61,"755000(Seven lakhs
fifty five thousand only)",12,Jain University Bangalore,IR-E-U-0223,PG [2 Years Program(s)]
2020-21,1405,606,"460000(Rupees Four
Lakhs Sixty Thousand
only)",87,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG [4 Years Program(s)]
2021-22,1640,769,400000(Four Lakh),562,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG [4 Years Program(s)]
2022-23,1706,868,"682000(Six Lakh
Eighty Two Thousand)",689,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,UG [4 Years Program(s)]
2020-21,101,90,"475000(Rupees Four
Lakhs Seventy Five
Thousand Only)",5,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,PG [2 Years Program(s)]
2021-22,86,80,"507000(Rupees Five
Lakhs Seven
Thousand Only)",5,Vignan s Foundation for Science Technology and Research,IR-E-U-0043,PG [2 Years Program(s)]
2020-21,1027,884,"400000(RUPEES
FOUR LAKH ONLY)",105,Siksha O Anusandhan,IR-E-U-0363,UG [4 Years Program(s)]
2021-22,1472,1297,"450000(RUPEES
FOUR LAKH FIFTY
THOUSAND ONLY)",95,Siksha O Anusandhan,IR-E-U-0363,UG [4 Years Program(s)]
2022-23,2007,1836,"575000(RUPEES FIVE
LAKH SEVENTY FIVE
THOUSAND ONLY)",102,Siksha O Anusandhan,IR-E-U-0363,UG [4 Years Program(s)]
2020-21,73,54,"400000(RUPEES
FOUR LAKH ONLY)",16,Siksha O Anusandhan,IR-E-U-0363,PG [2 Years Program(s)]
2021-22,38,31,"450000(RUPEES
FOUR LAKH FIFTY
THOUSAND ONLY)",4,Siksha O Anusandhan,IR-E-U-0363,PG [2 Years Program(s)]
2020-21,782,642,1000000(Ten lakh),32,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG [4 Years Program(s)]
2021-22,837,734,"1284000(Twelve lakh
eighty four thousand )",32,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG [4 Years Program(s)]
2022-23,903,794,1500000(Fifteen lakh),74,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,UG [4 Years Program(s)]
2020-21,578,436,"935000(Nine lakh thirty
five thousand)",40,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG [2 Years Program(s)]
2021-22,649,577,"942000(Nine lakh forty
two thousand )",6,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG [2 Years Program(s)]
2022-23,629,580,1100000(Eleven lakh),15,National Institute of Technology Karnataka Surathkal,IR-E-U-0237,PG [2 Years Program(s)]
2020-21,260,127,"700000(Seven Lakhs
Only)",74,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG [4 Years Program(s)]
2021-22,276,165,"1000000(Ten Lakhs
Only)",58,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG [4 Years Program(s)]
2022-23,210,190,815000(Eight lakhs),20,Guru Gobind Singh Indraprastha University,IR-E-U-0099,UG [4 Years Program(s)]
2020-21,56,12,"488000(Four Lakhs
Eighty Eight Thousand
Only)",13,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG [2 Years Program(s)]
2021-22,78,34,"600000(Six Lakhs
Only)",14,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG [2 Years Program(s)]
2022-23,103,77,"770000(Seven lakh
seventy thousand only)",26,Guru Gobind Singh Indraprastha University,IR-E-U-0099,PG [2 Years Program(s)]
2020-21,687,231,400000(Four Lakhs),38,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG [4 Years Program(s)]
2021-22,782,444,"450000(Four Lakhs
Fifty Thousand)",30,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG [4 Years Program(s)]
2022-23,781,606,"944000(Nine Lakh
Forty Four Thousand)",112,Madan Mohan Malaviya University of Technology,IR-E-U-0739,UG [4 Years Program(s)]
2020-21,299,40,400000(Four Lakhs),4,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG [2 Years Program(s)]
2021-22,368,94,"425000(Four Lakhs
Twenty Five thousand)",4,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG [2 Years Program(s)]
2022-23,169,151,"914224(Nine Lakhs
Fourteen Thousand
Two Hundred Twenty
Four)",18,Madan Mohan Malaviya University of Technology,IR-E-U-0739,PG [2 Years Program(s)]
2020-21,758,620,"1100000(Eleven Lakh
Only)",24,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [4 Years Program(s)]
2021-22,800,720,"1500000(Fifteen Lakh
Only)",8,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [4 Years Program(s)]
2022-23,770,655,"1500000(Fifteen Lakh
Only)",5,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [4 Years Program(s)]
2020-21,79,69,"1767000(Seventeen
Lakh Sixty Seven
Thousand Only)",5,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [5 Years Program(s)]
2021-22,80,77,"2355000(Twenty Three
Lakh Fifty Five
Thousand Only)",0,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [5 Years Program(s)]
2022-23,83,73,"1280000(Twelve Lakh
Eighty Thousand Only)",1,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,UG [5 Years Program(s)]
2020-21,275,155,"700000(Seven Lakh
Only)",38,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG [2 Years Program(s)]
2021-22,306,196,"925000(Nine Lakh
Twenty Five Thousand
Only)",10,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG [2 Years Program(s)]
2022-23,304,227,"1100000(Eleven Lakh
Only)",17,Indian Institute of Technology Indian School of Mines Dhanbad,IR-E-U-0205,PG [2 Years Program(s)]
2020-21,639,446,"810000(Eight Lakh
Ten Thousand only)",39,Malaviya National Institute of Technology,IR-E-U-0410,UG [4 Years Program(s)]
2021-22,655,549,"900000(Nine Lakh
only)",8,Malaviya National Institute of Technology,IR-E-U-0410,UG [4 Years Program(s)]
2022-23,749,671,"1150000(Eleven Lakh
Fifty Thousands Only)",15,Malaviya National Institute of Technology,IR-E-U-0410,UG [4 Years Program(s)]
2020-21,400,200,"750000(seven lakh fifty
thousand)",63,Malaviya National Institute of Technology,IR-E-U-0410,PG [2 Years Program(s)]
2021-22,393,263,"937000(Nine lakh thirty
seven lakh)",15,Malaviya National Institute of Technology,IR-E-U-0410,PG [2 Years Program(s)]
2022-23,365,265,"980000(Nine Lakh
Eighty Thousand Only)",20,Malaviya National Institute of Technology,IR-E-U-0410,PG [2 Years Program(s)]
2020-21,786,574,800000(Eight Lakhs),38,Maulana Azad National Institute of Technology,IR-E-U-0284,UG [4 Years Program(s)]
2021-22,833,666,"1100000(Eleven
Lakhs)",22,Maulana Azad National Institute of Technology,IR-E-U-0284,UG [4 Years Program(s)]
2022-23,920,845,"1383000(Thirteen
Lakhs Eighty Three
Thousand Only)",48,Maulana Azad National Institute of Technology,IR-E-U-0284,UG [4 Years Program(s)]
2020-21,302,171,"1120000(Eleven Lakhs
Twenty Thousand
only)",48,Maulana Azad National Institute of Technology,IR-E-U-0284,PG [2 Years Program(s)]
2021-22,425,224,"700000(Seven Lakhs
Only)",23,Maulana Azad National Institute of Technology,IR-E-U-0284,PG [2 Years Program(s)]
2022-23,328,245,"850000(Eight Lakhs
Fifty Thousand Only)",44,Maulana Azad National Institute of Technology,IR-E-U-0284,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated [5 Years Program(s)]
2021-22,0,0,0(Zero),0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated [5 Years Program(s)]
2022-23,0,0,0(Zero),0,Maulana Azad National Institute of Technology,IR-E-U-0284,PG-Integrated [5 Years Program(s)]
2020-21,1080,272,"350000(THREE LAKH
FIFTY THOUSAND)",20,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG [4 Years Program(s)]
2021-22,1154,331,"359000(Three Lakh
Fifty Nine Thousand)",72,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG [4 Years Program(s)]
2022-23,1260,349,"448000(Four Lakh
Forty Eight Thousand)",148,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,UG [4 Years Program(s)]
2020-21,28,25,"450000(Four Lakh Fifty
Thousand Only)",1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG [2 Years Program(s)]
2021-22,29,28,"450000(Four Lakh Fifty
Thousand Only)",1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG [2 Years Program(s)]
2022-23,29,28,"450000(Four Lakh Fifty
Thousand)",1,Saveetha Institute of Medical and Technical Sciences,IR-E-I-1441,PG [2 Years Program(s)]
2020-21,568,343,"625000(Six lakh twenty
five thousands rupees
)",124,National Institute of Technology Srinagar,IR-E-U-0197,UG [4 Years Program(s)]
2021-22,575,468,"833000(Eight lakh
thirty three thousands
rupees)",51,National Institute of Technology Srinagar,IR-E-U-0197,UG [4 Years Program(s)]
2022-23,581,446,"1100000(Eleven Lakh
only )",96,National Institute of Technology Srinagar,IR-E-U-0197,UG [4 Years Program(s)]
2020-21,116,34,"390000(Three lakh
ninety thousands
rupees)",28,National Institute of Technology Srinagar,IR-E-U-0197,PG [2 Years Program(s)]
