Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates per annum(Amount in Rs.),No. of students selected for Higher Studies,College,CollegeID,Batch
2020-21,860,707,"900000(Nine Lakhs
Only)",124,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2021-22,889,768,"1200000(Twelve lakhs
only)",78,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2022-23,905,803,"1700000(Seventeen
Lakhs only)",4,Motilal Nehru National Institute of Technology,IR-E-U-0530,UG [4 Years Program(s)]
2020-21,367,104,"1065000(Ten Lakhs
Sixty Five Thousand
Only)",53,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG [2 Years Program(s)]
2021-22,430,208,"1100000(Eleven lakhs
only)",30,Motilal Nehru National Institute of Technology,IR-E-U-0530,PG [2 Years Program(s)]
2020-21,152,76,"4750000(Four lakhs
seventy five thousand)",15,University of Hyderabad,IR-E-U-0042,PG [2 Years Program(s)]
2021-22,174,82,"440000(Four lakhs
forty thousand)",25,University of Hyderabad,IR-E-U-0042,PG [2 Years Program(s)]
2022-23,78,36,"660000(Six lakhs sixty
thousand only)",42,University of Hyderabad,IR-E-U-0042,PG [2 Years Program(s)]
2020-21,10,9,"650000(Six lakhs fifty
thousand)",1,University of Hyderabad,IR-E-U-0042,PG-Integrated [5 Years Program(s)]
2021-22,20,18,"730000(Seven lakhs
thirty thousand)",2,University of Hyderabad,IR-E-U-0042,PG-Integrated [5 Years Program(s)]
2022-23,16,12,"620000(Six lakhs
twenty thousando nly)",4,University of Hyderabad,IR-E-U-0042,PG-Integrated [5 Years Program(s)]
2020-21,867,718,"560000(Five Lacs
Sixty Thousand)",77,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2021-22,853,759,"750000(Seven Lacs
Fifty Thousand)",71,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2022-23,885,864,"905000(Nine Lacs Five
Thousand)",16,Banasthali Vidyapith,IR-E-U-0389,UG [4 Years Program(s)]
2020-21,42,15,"450000(Four Lacs Fifty
Thousand)",8,Banasthali Vidyapith,IR-E-U-0389,PG [2 Years Program(s)]
2021-22,44,19,"560000(Five Lacs
Sixty Thousand)",11,Banasthali Vidyapith,IR-E-U-0389,PG [2 Years Program(s)]
2020-21,2197,1352,"360000(Three Lakh
Sixty Thousand)",349,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2021-22,1452,1186,"425000(Four Lakhs
and Twenty Five
Thousand)",255,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2022-23,2243,1356,"482102(Four Lakh
Eighty Two Thousand
One Hundred And
Two)",210,Sathyabama Institute of Science and Technology,IR-E-U-0474,UG [4 Years Program(s)]
2020-21,72,66,"470000(Four Lakhs
Seventy Thousand
Only)",5,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG [2 Years Program(s)]
2021-22,139,89,"490000(Four Lakh
Ninety Thousand only)",31,Sathyabama Institute of Science and Technology,IR-E-U-0474,PG [2 Years Program(s)]
2020-21,4317,4026,400000(Four Lakhs),138,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2021-22,4260,3960,"449000(Four Lakh
Forty Nine Thousand)",121,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2022-23,4195,4031,"610000(Six Lakhs Ten
Thousand)",78,S R M Institute of Science and Technology,IR-E-U-0473,UG [4 Years Program(s)]
2020-21,318,237,"525000(Five lakhs
twenty five thousand)",12,S R M Institute of Science and Technology,IR-E-U-0473,PG [2 Years Program(s)]
2021-22,359,329,"550000(Five lakhs fifty
thousand)",29,S R M Institute of Science and Technology,IR-E-U-0473,PG [2 Years Program(s)]
2020-21,0,0,0(Zero),0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated [5 Years Program(s)]
2021-22,0,0,0(Zero),0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated [5 Years Program(s)]
2022-23,0,0,0(Zero),0,S R M Institute of Science and Technology,IR-E-U-0473,PG-Integrated [5 Years Program(s)]
2020-21,164,96,800000(Eight Lac),32,National Institute of Technology Delhi,IR-E-U-0622,UG [4 Years Program(s)]
2021-22,163,142,"1475000(Fourteen
Lakh Seventy Five
Thousand)",15,National Institute of Technology Delhi,IR-E-U-0622,UG [4 Years Program(s)]
2022-23,164,143,"1550000(Fifteen Lakhs
Fifty Thousands )",17,National Institute of Technology Delhi,IR-E-U-0622,UG [4 Years Program(s)]
2020-21,54,16,"1198000(Eleven Lac
Ninty Eight Thousands
)",13,National Institute of Technology Delhi,IR-E-U-0622,PG [2 Years Program(s)]
2021-22,56,33,1500000(Fifteen Lac),5,National Institute of Technology Delhi,IR-E-U-0622,PG [2 Years Program(s)]
2020-21,638,509,"712500(RUPEES
SEVEN LAKHS
TWELEVE
THOUSAND AND
FIVE HUNDRED
ONLY)",38,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
2021-22,712,640,"1000000(RUPEES
TEN LAKHS ONLY)",15,National Institute of Technology Rourkela,IR-E-U-0357,UG [4 Years Program(s)]
