Match_ID,Team,Opponent,Batting Position,Batsman_Name,Dismissal,Runs,Balls,Minutes Spent,4s,6s,Strike Rate
T20I # 1878,India,England,6,Rishabh Pant †,run out (†Buttler/Jordan),6,4,13,1,0,150.00
T20I # 1878,India,England,7,Ravichandran Ashwin,not out,0,0,4,0,0,-
T20I # 1878,England,India,1,Jos Buttler (c)†,not out,80,49,74,9,3,163.26
T20I # 1878,England,India,2,Alex Hales,not out,86,47,74,4,7,182.97
T20I # 1877,New Zealand,Pakistan,1,Finn Allen,lbw b Shaheen Shah Afridi,4,3,6,1,0,133.33
T20I # 1877,New Zealand,Pakistan,2,Devon Conway †,run out (Shadab Khan),21,20,35,3,0,105.00
T20I # 1877,New Zealand,Pakistan,3,Kane Williamson (c),b Shaheen Shah Afridi,46,42,81,1,1,109.52
T20I # 1877,New Zealand,Pakistan,4,Glenn Phillips,c & b Mohammad Nawaz,6,8,9,1,0,75.00
T20I # 1877,New Zealand,Pakistan,5,Daryl Mitchell,not out,53,35,60,3,1,151.42
T20I # 1877,New Zealand,Pakistan,6,James Neesham,not out,16,12,19,1,0,133.33
T20I # 1877,Pakistan,New Zealand,1,Mohammad Rizwan †,c Phillips b Boult,57,43,77,5,0,132.55
T20I # 1877,Pakistan,New Zealand,2,Babar Azam (c),c Mitchell b Boult,53,42,56,7,0,126.19
T20I # 1877,Pakistan,New Zealand,3,Mohammad Haris,c Allen b Santner,30,26,32,2,1,115.38
T20I # 1877,Pakistan,New Zealand,4,Shan Masood,not out,3,4,13,0,0,75.00
T20I # 1877,Pakistan,New Zealand,5,Iftikhar Ahmed,not out,0,0,3,0,0,-
T20I # 1873,India,Zimbabwe,1,KL Rahul,c Masakadza b Sikandar Raza,51,35,59,3,3,145.71
T20I # 1873,India,Zimbabwe,2,Rohit Sharma (c),c Masakadza b Muzarabani,15,13,20,2,0,115.38
T20I # 1873,India,Zimbabwe,3,Virat Kohli,c Burl b Williams,26,25,36,2,0,104.00
T20I # 1873,India,Zimbabwe,4,Suryakumar Yadav,not out,61,25,44,6,4,244.00
T20I # 1873,India,Zimbabwe,5,Rishabh Pant †,c Burl b Williams,3,5,7,0,0,60.00
T20I # 1873,India,Zimbabwe,6,Hardik Pandya,c Muzarabani b Ngarava,18,18,29,2,0,100.00
T20I # 1873,India,Zimbabwe,7,Axar Patel,not out,0,0,6,0,0,-
T20I # 1873,Zimbabwe,India,1,Wessly Madhevere,c Kohli b Kumar,0,1,1,0,0,0.00
T20I # 1873,Zimbabwe,India,2,Craig Ervine (c),c & b Pandya,13,15,37,2,0,86.66
T20I # 1873,Zimbabwe,India,3,Regis Chakabva †,b Arshdeep Singh,0,6,9,0,0,0.00
T20I # 1873,Zimbabwe,India,4,Sean Williams,c Kumar b Mohammed Shami,11,18,22,0,1,61.11
T20I # 1873,Zimbabwe,India,5,Sikandar Raza,c Yadav b Pandya,34,24,53,3,0,141.66
T20I # 1873,Zimbabwe,India,6,Tony Munyonga,lbw b Mohammed Shami,5,4,6,1,0,125.00
T20I # 1873,Zimbabwe,India,7,Ryan Burl,b Ashwin,35,22,27,5,1,159.09
T20I # 1873,Zimbabwe,India,8,Wellington Masakadza,c Sharma b Ashwin,1,7,8,0,0,14.28
T20I # 1873,Zimbabwe,India,9,Richard Ngarava,b Ashwin,1,2,4,0,0,50.00
T20I # 1873,Zimbabwe,India,10,Tendai Chatara,c & b Patel,4,4,11,1,0,100.00
T20I # 1873,Zimbabwe,India,11,Blessing Muzarabani,not out,0,2,5,0,0,0.00
T20I # 1872,Bangladesh,Pakistan,1,Najmul Hossain Shanto,b Iftikhar Ahmed,54,48,66,7,0,112.50
T20I # 1872,Bangladesh,Pakistan,2,Litton Das,c Shan Masood b Shaheen Shah Afridi,10,8,15,0,1,125.00
T20I # 1872,Bangladesh,Pakistan,3,Soumya Sarkar,c Shan Masood b Shadab Khan,20,17,38,1,1,117.64
T20I # 1872,Bangladesh,Pakistan,4,Shakib Al Hasan (c),lbw b Shadab Khan,0,1,4,0,0,0.00
T20I # 1872,Bangladesh,Pakistan,5,Afif Hossain,not out,24,20,47,3,0,120.00
T20I # 1872,Bangladesh,Pakistan,6,Mosaddek Hossain,b Shaheen Shah Afridi,5,11,17,0,0,45.45
T20I # 1872,Bangladesh,Pakistan,7,Nurul Hasan †,c Mohammad Haris b Shaheen Shah Afridi,0,3,4,0,0,0.00
T20I # 1872,Bangladesh,Pakistan,8,Taskin Ahmed,c Babar Azam b Shaheen Shah Afridi,1,5,8,0,0,20.00
T20I # 1872,Bangladesh,Pakistan,9,Nasum Ahmed,c Mohammad Wasim b Haris Rauf,7,6,9,1,0,116.66
T20I # 1872,Bangladesh,Pakistan,10,Mustafizur Rahman,not out,0,1,1,0,0,0.00
T20I # 1872,Pakistan,Bangladesh,1,Mohammad Rizwan †,c Najmul Hossain Shanto b Ebadot Hossain,32,32,51,2,1,100.00
T20I # 1872,Pakistan,Bangladesh,2,Babar Azam (c),c Mustafizur Rahman b Nasum Ahmed,25,33,46,2,0,75.75
T20I # 1872,Pakistan,Bangladesh,3,Mohammad Nawaz,run out (Litton Das),4,11,27,0,0,36.36
T20I # 1872,Pakistan,Bangladesh,4,Mohammad Haris,c Nasum Ahmed b Shakib Al Hasan,31,18,31,1,2,172.22
T20I # 1872,Pakistan,Bangladesh,5,Shan Masood,not out,24,14,20,2,0,171.42
T20I # 1872,Pakistan,Bangladesh,6,Iftikhar Ahmed,c Najmul Hossain Shanto b Mustafizur Rahman,1,3,8,0,0,33.33
T20I # 1872,Pakistan,Bangladesh,7,Shadab Khan,not out,0,0,2,0,0,-
T20I # 1871,Netherlands,South Africa,1,Stephan Myburgh,c Rossouw b Markram,37,30,41,7,0,123.33
T20I # 1871,Netherlands,South Africa,2,Max O'Dowd,c Rabada b Maharaj,29,31,61,1,1,93.54
T20I # 1871,Netherlands,South Africa,3,Tom Cooper,c †de Kock b Maharaj,35,19,30,2,2,184.21
T20I # 1871,Netherlands,South Africa,4,Colin Ackermann,not out,41,26,31,3,2,157.69
T20I # 1871,Netherlands,South Africa,5,Bas de Leede,b Nortje,1,7,11,0,0,14.28
T20I # 1871,Netherlands,South Africa,6,Scott Edwards (c)†,not out,12,7,11,2,0,171.42
T20I # 1871,South Africa,Netherlands,1,Quinton de Kock †,c †Edwards b Klaassen,13,13,12,1,1,100.00
T20I # 1871,South Africa,Netherlands,2,Temba Bavuma (c),b van Meekeren,20,20,26,2,0,100.00
T20I # 1871,South Africa,Netherlands,3,Rilee Rossouw,c O'Dowd b Glover,25,19,29,2,0,131.57
T20I # 1871,South Africa,Netherlands,4,Aiden Markram,c Myburgh b Klaassen,17,13,30,2,0,130.76
T20I # 1871,South Africa,Netherlands,5,David Miller,c van der Merwe b Glover,17,17,28,1,0,100.00
T20I # 1871,South Africa,Netherlands,6,Heinrich Klaasen,c van Beek b de Leede,21,18,27,0,1,116.66
T20I # 1871,South Africa,Netherlands,7,Wayne Parnell,c †Edwards b Glover,0,2,3,0,0,0.00
T20I # 1871,South Africa,Netherlands,8,Keshav Maharaj,c O'Dowd b de Leede,13,12,20,0,1,108.33
T20I # 1871,South Africa,Netherlands,9,Kagiso Rabada,not out,9,8,13,0,0,112.50
T20I # 1871,South Africa,Netherlands,10,Anrich Nortje,not out,4,1,2,1,0,400.00
T20I # 1867,Sri Lanka,England,1,Pathum Nissanka,c sub (CJ Jordan) b Rashid,67,45,70,2,5,148.88
T20I # 1867,Sri Lanka,England,2,Kusal Mendis †,c Livingstone b Woakes,18,14,21,1,1,128.57
T20I # 1867,Sri Lanka,England,3,Dhananjaya de Silva,c Stokes b Curran,9,11,17,0,0,81.81
T20I # 1867,Sri Lanka,England,4,Charith Asalanka,c Malan b Stokes,8,9,15,0,0,88.88
T20I # 1867,Sri Lanka,England,5,Bhanuka Rajapaksa,c Curran b Wood,22,22,41,3,0,100.00
T20I # 1867,Sri Lanka,England,6,Dasun Shanaka (c),c †Buttler b Wood,3,8,12,0,0,37.50
T20I # 1867,Sri Lanka,England,7,Wanindu Hasaranga,run out (†Buttler/Wood),9,9,13,1,0,100.00
T20I # 1867,Sri Lanka,England,8,Chamika Karunaratne,c Hales b Wood,0,2,3,0,0,0.00
T20I # 1867,Sri Lanka,England,9,Maheesh Theekshana,not out,0,0,2,0,0,-
T20I # 1867,England,Sri Lanka,1,Jos Buttler (c)†,c Karunaratne b Hasaranga,28,23,35,2,1,121.73
T20I # 1867,England,Sri Lanka,2,Alex Hales,c & b Hasaranga,47,30,42,7,1,156.66
T20I # 1867,England,Sri Lanka,3,Ben Stokes,not out,42,36,59,2,0,116.66
T20I # 1867,England,Sri Lanka,4,Harry Brook,c & b de Silva,4,5,9,0,0,80.00
T20I # 1867,England,Sri Lanka,5,Liam Livingstone,c de Silva b Kumara,4,6,10,0,0,66.66
T20I # 1867,England,Sri Lanka,6,Moeen Ali,c Shanaka b de Silva,1,5,8,0,0,20.00
T20I # 1867,England,Sri Lanka,7,Sam Curran,c Rajitha b Kumara,6,11,16,0,0,54.54
T20I # 1867,England,Sri Lanka,8,Chris Woakes,not out,5,3,11,1,0,166.66
T20I # 1864,Australia,Afghanistan,1,David Warner,b Naveen-ul-Haq,25,18,28,5,0,138.88
T20I # 1864,Australia,Afghanistan,2,Cameron Green,c Gulbadin Naib b Fazalhaq Farooqi,3,2,12,0,0,150.00
T20I # 1864,Australia,Afghanistan,3,Mitchell Marsh,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,45,30,42,3,2,150.00
T20I # 1864,Australia,Afghanistan,4,Steven Smith,lbw b Naveen-ul-Haq,4,4,6,1,0,100.00
T20I # 1864,Australia,Afghanistan,5,Marcus Stoinis,c Usman Ghani b Rashid Khan,25,21,41,0,2,119.04
T20I # 1864,Australia,Afghanistan,6,Glenn Maxwell,not out,54,32,46,6,2,168.75
T20I # 1864,Australia,Afghanistan,7,Matthew Wade (c)†,b Fazalhaq Farooqi,6,8,14,1,0,75.00
T20I # 1864,Australia,Afghanistan,8,Pat Cummins,c Rashid Khan b Naveen-ul-Haq,0,2,4,0,0,0.00
T20I # 1864,Australia,Afghanistan,9,Kane Richardson,run out (Naveen-ul-Haq),1,1,6,0,0,100.00
T20I # 1864,Australia,Afghanistan,10,Adam Zampa,not out,1,1,5,0,0,100.00
T20I # 1864,Afghanistan,Australia,1,Rahmanullah Gurbaz †,c Warner b Richardson,30,17,31,2,2,176.47
T20I # 1864,Afghanistan,Australia,2,Usman Ghani,c Cummins b Hazlewood,2,7,16,0,0,28.57
T20I # 1864,Afghanistan,Australia,3,Ibrahim Zadran,c Marsh b Zampa,26,33,55,2,0,78.78
T20I # 1864,Afghanistan,Australia,4,Gulbadin Naib,run out (Maxwell),39,23,38,3,2,169.56
T20I # 1864,Afghanistan,Australia,5,Mohammad Nabi (c),c Warner b Hazlewood,1,2,10,0,0,50.00
T20I # 1864,Afghanistan,Australia,6,Najibullah Zadran,c Maxwell b Zampa,0,2,3,0,0,0.00
T20I # 1864,Afghanistan,Australia,7,Darwish Rasooli,run out (†Wade/Stoinis),15,13,28,1,0,115.38
T20I # 1864,Afghanistan,Australia,8,Rashid Khan,not out,48,23,27,3,4,208.69
T20I # 1864,Afghanistan,Australia,9,Naveen-ul-Haq,not out,0,0,4,0,0,-
T20I # 1862,New Zealand,Ireland,1,Finn Allen,c Hand b Adair,32,18,30,5,1,177.77
T20I # 1862,New Zealand,Ireland,2,Devon Conway †,c Adair b Delany,28,33,55,2,0,84.84
T20I # 1862,New Zealand,Ireland,3,Kane Williamson (c),c Delany b Little,61,35,59,5,3,174.28
T20I # 1862,New Zealand,Ireland,4,Glenn Phillips,c Dockrell b Delany,17,9,9,2,1,188.88
T20I # 1862,New Zealand,Ireland,5,Daryl Mitchell,not out,31,21,35,2,0,147.61
T20I # 1862,New Zealand,Ireland,6,James Neesham,lbw b Little,0,1,3,0,0,0.00
T20I # 1862,New Zealand,Ireland,7,Mitchell Santner,lbw b Little,0,1,2,0,0,0.00
T20I # 1862,New Zealand,Ireland,8,Tim Southee,not out,1,2,7,0,0,50.00
T20I # 1862,Ireland,New Zealand,1,Paul Stirling,b Sodhi,37,27,39,3,1,137.03
T20I # 1862,Ireland,New Zealand,2,Andy Balbirnie (c),b Santner,30,25,36,0,3,120.00
T20I # 1862,Ireland,New Zealand,3,Lorcan Tucker †,c Allen b Sodhi,13,14,30,0,0,92.85
T20I # 1862,Ireland,New Zealand,4,Harry Tector,c Southee b Santner,2,7,4,0,0,28.57
T20I # 1862,Ireland,New Zealand,5,Gareth Delany,c †Conway b Ferguson,10,8,12,2,0,125.00
T20I # 1862,Ireland,New Zealand,6,George Dockrell,c Williamson b Ferguson,23,15,24,3,0,153.33
T20I # 1862,Ireland,New Zealand,7,Curtis Campher,c Allen b Southee,7,7,10,1,0,100.00
T20I # 1862,Ireland,New Zealand,8,Fionn Hand,c & b Ferguson,5,3,7,1,0,166.66
T20I # 1862,Ireland,New Zealand,9,Mark Adair,c Phillips b Southee,4,5,9,0,0,80.00
T20I # 1862,Ireland,New Zealand,10,Barry McCarthy,not out,6,5,10,0,0,120.00
T20I # 1862,Ireland,New Zealand,11,Josh Little,not out,8,4,3,0,1,200.00
T20I # 1861,Pakistan,South Africa,1,Mohammad Rizwan †,b Parnell,4,4,4,1,0,100.00
T20I # 1861,Pakistan,South Africa,2,Babar Azam (c),c Rabada b Ngidi,6,15,29,0,0,40.00
T20I # 1861,Pakistan,South Africa,3,Mohammad Haris,lbw b Nortje,28,11,19,2,3,254.54
T20I # 1861,Pakistan,South Africa,4,Shan Masood,c Bavuma b Nortje,2,6,11,0,0,33.33
T20I # 1861,Pakistan,South Africa,5,Iftikhar Ahmed,c Rossouw b Rabada,51,35,73,3,2,145.71
T20I # 1861,Pakistan,South Africa,6,Mohammad Nawaz,lbw b Shamsi,28,22,32,4,1,127.27
T20I # 1861,Pakistan,South Africa,7,Shadab Khan,c Stubbs b Nortje,52,22,31,3,4,236.36
T20I # 1861,Pakistan,South Africa,8,Mohammad Wasim,c Bavuma b Nortje,0,1,1,0,0,0.00
T20I # 1861,Pakistan,South Africa,9,Naseem Shah,not out,5,3,3,0,0,166.66
T20I # 1861,Pakistan,South Africa,10,Haris Rauf,run out (Klaasen/Bavuma),3,2,2,0,0,150.00
T20I # 1861,South Africa,Pakistan,1,Temba Bavuma (c),c †Mohammad Rizwan b Shadab Khan,36,19,39,4,1,189.47
T20I # 1861,South Africa,Pakistan,2,Quinton de Kock †,c Mohammad Haris b Shaheen Shah Afridi,0,5,6,0,0,0.00
T20I # 1861,South Africa,Pakistan,3,Rilee Rossouw,c Naseem Shah b Shaheen Shah Afridi,7,6,10,0,1,116.66
T20I # 1861,South Africa,Pakistan,4,Aiden Markram,b Shadab Khan,20,14,28,4,0,142.85
T20I # 1861,South Africa,Pakistan,5,Heinrich Klaasen,c Mohammad Wasim b Shaheen Shah Afridi,15,9,18,3,0,166.66
T20I # 1861,South Africa,Pakistan,6,Tristan Stubbs,c Mohammad Nawaz b Naseem Shah,18,18,28,0,1,100.00
T20I # 1861,South Africa,Pakistan,7,Wayne Parnell,lbw b Mohammad Wasim,3,4,9,0,0,75.00
T20I # 1861,South Africa,Pakistan,8,Kagiso Rabada,run out (Mohammad Nawaz/Haris Rauf),1,2,11,0,0,50.00
T20I # 1861,South Africa,Pakistan,9,Anrich Nortje,c Mohammad Haris b Haris Rauf,1,5,8,0,0,20.00
T20I # 1861,South Africa,Pakistan,10,Lungi Ngidi,not out,4,1,5,1,0,400.00
T20I # 1861,South Africa,Pakistan,11,Tabraiz Shamsi,not out,1,1,3,0,0,100.00
T20I # 1860,India,Bangladesh,1,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,49,3,4,156.25
T20I # 1860,India,Bangladesh,2,Rohit Sharma (c),c Yasir Ali b Hasan Mahmud,2,8,18,0,0,25.00
T20I # 1860,India,Bangladesh,3,Virat Kohli,not out,64,44,84,8,1,145.45
T20I # 1860,India,Bangladesh,4,Suryakumar Yadav,b Shakib Al Hasan,30,16,18,4,0,187.50
T20I # 1860,India,Bangladesh,5,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,8,0,0,83.33
T20I # 1860,India,Bangladesh,6,Dinesh Karthik †,run out (Shakib Al Hasan/Shoriful Islam),7,5,12,1,0,140.00
T20I # 1860,India,Bangladesh,7,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,6,1,0,116.66
T20I # 1860,India,Bangladesh,8,Ravichandran Ashwin,not out,13,6,9,1,1,216.66
T20I # 1860,Bangladesh,India,1,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,50,1,1,84.00
T20I # 1860,Bangladesh,India,2,Litton Das,run out (Rahul),60,27,40,7,3,222.22
T20I # 1860,Bangladesh,India,3,Shakib Al Hasan (c),c sub (DJ Hooda) b Arshdeep Singh,13,12,24,2,0,108.33
T20I # 1860,Bangladesh,India,4,Afif Hossain,c Yadav b Arshdeep Singh,3,5,12,0,0,60.00
T20I # 1860,Bangladesh,India,5,Yasir Ali,c Arshdeep Singh b Pandya,1,3,8,0,0,33.33
T20I # 1860,Bangladesh,India,6,Nurul Hasan †,not out,25,14,29,2,1,178.57
T20I # 1860,Bangladesh,India,7,Mosaddek Hossain,b Pandya,6,3,4,0,1,200.00
T20I # 1860,Bangladesh,India,8,Taskin Ahmed,not out,12,7,22,1,1,171.42
T20I # 1859,Zimbabwe,Netherlands,1,Wessly Madhevere,b van Meekeren,1,5,9,0,0,20.00
T20I # 1859,Zimbabwe,Netherlands,2,Craig Ervine (c),c †Edwards b Glover,3,12,18,0,0,25.00
T20I # 1859,Zimbabwe,Netherlands,3,Regis Chakabva †,lbw b Glover,5,16,18,1,0,31.25
T20I # 1859,Zimbabwe,Netherlands,4,Sean Williams,c O'Dowd b van Meekeren,28,23,39,3,0,121.73
T20I # 1859,Zimbabwe,Netherlands,5,Sikandar Raza,c Klaassen b de Leede,40,24,46,3,3,166.66
T20I # 1859,Zimbabwe,Netherlands,6,Milton Shumba,c Myburgh b van Beek,2,3,6,0,0,66.66
T20I # 1859,Zimbabwe,Netherlands,7,Ryan Burl,b van Meekeren,2,7,19,0,0,28.57
T20I # 1859,Zimbabwe,Netherlands,8,Luke Jongwe,c van Beek b de Leede,6,8,12,0,0,75.00
T20I # 1859,Zimbabwe,Netherlands,9,Richard Ngarava,c Myburgh b Klaassen,9,7,12,0,1,128.57
T20I # 1859,Zimbabwe,Netherlands,10,Tendai Chatara,not out,6,7,15,0,0,85.71
T20I # 1859,Zimbabwe,Netherlands,11,Blessing Muzarabani,c Glover b van Beek,1,4,9,0,0,25.00
T20I # 1859,Netherlands,Zimbabwe,1,Stephan Myburgh,c Burl b Muzarabani,8,7,15,0,1,114.28
T20I # 1859,Netherlands,Zimbabwe,2,Max O'Dowd,c Shumba b Muzarabani,52,47,70,8,1,110.63
T20I # 1859,Netherlands,Zimbabwe,3,Tom Cooper,c Madhevere b Jongwe,32,29,42,2,1,110.34
T20I # 1859,Netherlands,Zimbabwe,4,Colin Ackermann,c Jongwe b Ngarava,1,5,6,0,0,20.00
T20I # 1859,Netherlands,Zimbabwe,5,Bas de Leede,not out,12,12,21,2,0,100.00
T20I # 1859,Netherlands,Zimbabwe,6,Scott Edwards (c)†,c †Chakabva b Ngarava,5,6,8,1,0,83.33
T20I # 1859,Netherlands,Zimbabwe,7,Roelof van der Merwe,not out,0,3,6,0,0,0.00
T20I # 1858,England,New Zealand,1,Jos Buttler (c)†,run out (Williamson/Southee),73,47,82,7,2,155.31
T20I # 1858,England,New Zealand,2,Alex Hales,st †Conway b Santner,52,40,46,7,1,130.00
T20I # 1858,England,New Zealand,3,Moeen Ali,c Boult b Sodhi,5,6,13,0,0,83.33
T20I # 1858,England,New Zealand,4,Liam Livingstone,b Ferguson,20,14,20,1,1,142.85
T20I # 1858,England,New Zealand,5,Harry Brook,c Allen b Southee,7,3,6,0,1,233.33
T20I # 1858,England,New Zealand,6,Ben Stokes,lbw b Ferguson,8,7,11,0,0,114.28
T20I # 1858,England,New Zealand,7,Sam Curran,not out,6,3,7,0,1,200.00
T20I # 1858,England,New Zealand,8,Dawid Malan,not out,3,1,1,0,0,300.00
T20I # 1858,New Zealand,England,1,Finn Allen,c Stokes b Curran,16,11,25,0,1,145.45
T20I # 1858,New Zealand,England,2,Devon Conway †,c †Buttler b Woakes,3,9,12,0,0,33.33
T20I # 1858,New Zealand,England,3,Kane Williamson (c),c Rashid b Stokes,40,40,57,3,0,100.00
T20I # 1858,New Zealand,England,4,Glenn Phillips,c sub (CJ Jordan) b Curran,62,36,64,4,3,172.22
T20I # 1858,New Zealand,England,5,James Neesham,c Curran b Wood,6,3,7,1,0,200.00
T20I # 1858,New Zealand,England,6,Daryl Mitchell,c sub (CJ Jordan) b Woakes,3,5,10,0,0,60.00
T20I # 1858,New Zealand,England,7,Mitchell Santner,not out,16,10,19,0,1,160.00
T20I # 1858,New Zealand,England,8,Ish Sodhi,not out,6,6,4,0,0,100.00
T20I # 1856,Afghanistan,Sri Lanka,1,Rahmanullah Gurbaz †,b Kumara,28,24,33,2,2,116.66
T20I # 1856,Afghanistan,Sri Lanka,2,Usman Ghani,c Shanaka b Hasaranga,27,27,54,2,1,100.00
T20I # 1856,Afghanistan,Sri Lanka,3,Ibrahim Zadran,c Rajapaksa b Kumara,22,18,35,1,1,122.22
T20I # 1856,Afghanistan,Sri Lanka,4,Najibullah Zadran,c Hasaranga b de Silva,18,16,29,1,0,112.50
T20I # 1856,Afghanistan,Sri Lanka,5,Gulbadin Naib,run out (Nissanka/†Mendis),12,14,25,0,0,85.71
T20I # 1856,Afghanistan,Sri Lanka,6,Mohammad Nabi (c),c Shanaka b Rajitha,13,8,15,1,0,162.50
T20I # 1856,Afghanistan,Sri Lanka,7,Rashid Khan,b Hasaranga,9,8,10,1,0,112.50
T20I # 1856,Afghanistan,Sri Lanka,8,Azmatullah Omarzai,not out,3,4,3,0,0,75.00
T20I # 1856,Afghanistan,Sri Lanka,9,Mujeeb Ur Rahman,st †Mendis b Hasaranga,1,2,1,0,0,50.00
T20I # 1856,Sri Lanka,Afghanistan,1,Pathum Nissanka,b Mujeeb Ur Rahman,10,10,10,2,0,100.00
T20I # 1856,Sri Lanka,Afghanistan,2,Kusal Mendis †,c †Rahmanullah Gurbaz b Rashid Khan,25,27,33,2,1,92.59
T20I # 1856,Sri Lanka,Afghanistan,3,Dhananjaya de Silva,not out,66,42,78,6,2,157.14
T20I # 1856,Sri Lanka,Afghanistan,4,Charith Asalanka,c Azmatullah Omarzai b Rashid Khan,19,18,27,1,0,105.55
T20I # 1856,Sri Lanka,Afghanistan,5,Bhanuka Rajapaksa,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,18,14,24,3,0,128.57
T20I # 1856,Sri Lanka,Afghanistan,6,Dasun Shanaka (c),not out,0,0,4,0,0,-
T20I # 1855,Australia,Ireland,1,David Warner,c Adair b McCarthy,3,7,13,0,0,42.85
T20I # 1855,Australia,Ireland,2,Aaron Finch (c),c Adair b McCarthy,63,44,87,5,3,143.18
T20I # 1855,Australia,Ireland,3,Mitchell Marsh,c †Tucker b McCarthy,28,22,28,2,2,127.27
T20I # 1855,Australia,Ireland,4,Glenn Maxwell,c †Tucker b Little,13,9,18,0,1,144.44
T20I # 1855,Australia,Ireland,5,Marcus Stoinis,c Dockrell b Little,35,25,41,3,1,140.00
T20I # 1855,Australia,Ireland,6,Tim David,not out,15,10,15,2,0,150.00
T20I # 1855,Australia,Ireland,7,Matthew Wade †,not out,7,3,7,1,0,233.33
T20I # 1855,Ireland,Australia,1,Paul Stirling,c Cummins b Maxwell,11,7,11,1,1,157.14
T20I # 1855,Ireland,Australia,2,Andy Balbirnie (c),b Cummins,6,7,11,0,1,85.71
T20I # 1855,Ireland,Australia,3,Lorcan Tucker †,not out,71,48,81,9,1,147.91
T20I # 1855,Ireland,Australia,4,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,3,1,0,150.00
T20I # 1855,Ireland,Australia,5,Curtis Campher,b Starc,0,1,5,0,0,0.00
T20I # 1855,Ireland,Australia,6,George Dockrell,b Starc,0,4,4,0,0,0.00
T20I # 1855,Ireland,Australia,7,Gareth Delany,c Maxwell b Stoinis,14,10,27,2,0,140.00
T20I # 1855,Ireland,Australia,8,Mark Adair,st †Wade b Zampa,11,11,13,1,0,100.00
T20I # 1855,Ireland,Australia,9,Fionn Hand,b Zampa,6,6,10,1,0,100.00
T20I # 1855,Ireland,Australia,10,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,16,0,0,42.85
T20I # 1855,Ireland,Australia,11,Josh Little,run out (Marsh/Maxwell),1,5,6,0,0,20.00
T20I # 1853,India,South Africa,1,KL Rahul,c Markram b Ngidi,9,14,25,0,1,64.28
T20I # 1853,India,South Africa,2,Rohit Sharma (c),c & b Ngidi,15,14,22,1,1,107.14
T20I # 1853,India,South Africa,3,Virat Kohli,c Rabada b Ngidi,12,11,13,2,0,109.09
T20I # 1853,India,South Africa,4,Suryakumar Yadav,c Maharaj b Parnell,68,40,68,6,3,170.00
T20I # 1853,India,South Africa,5,Deepak Hooda,c †de Kock b Nortje,0,3,4,0,0,0.00
T20I # 1853,India,South Africa,6,Hardik Pandya,c Rabada b Ngidi,2,3,6,0,0,66.66
